doc_number,rating,text,summary_raw,review_raw,summary_tokens_length
2,5.0,"huge, fan, author, not, kind, novel, read, time, lose, book, days, possibly, weeks, go_back, reread, soon, finished, rich, historical, details, particularly, themes, painful, family, history, potential, readers, novel, know, exactly, work, looking, want, look_elsewhere, moves, countries, including, sections, based, france, algeria, focus, novel, family, story, told, sagesse, woman, weight, family, history, starting, sagesse, grandfather, man, owns, france, family, begin, play, out, connecting, larger, themes, france, algeria, history, well, sagesse, parents, alex, reveal, plenty, kind, problems, cultural, face, coming, america, alex, unable, see, potential, problems, face, moves, overseas, live, husband, impact, daughter, rest, family, including, son, bit, hard, book, covers, many, areas, part, mystery, sagesse, trying, separate, truth, out, family, history, part, suspense, sagesse, short, love, affair, moment, not_want, give, details, moment, historical, novel, rich, information, events, algeria, france, united, states, themes, personal, identity, primarily, sagesse, woman, trying, figure_out, world, make, peace, difficult, family, well, coming, history, impact, family",I'm a huge fan of the author and this one did not disappoint,"This is the kind of novel to read when you have time to lose yourself in a book for days, possibly weeks. I had to go back and reread it as soon as I finished it because it is so rich in historical and psychological  details, particularly themes centering on painful family dynamics and history.

Potential readers of this novel by Claire Messud should know it isn't exactly a sunny, bouncy work. If you are looking for that you'll want to look elsewhere. It also moves between countries, including sections based in France, the U.S. and Algeria.

The focus of the novel is the LaBasse family and the story is told from the viewpoint of Sagesse, a woman who conveys the weight of a turbulent family history. Starting with Sagesse's grandfather, a man who owns the Hotel Bellevue in France,the family dynamics begin to play themselves out, connecting to larger themes of France and Algeria's history as well, with stunning consequences.

Sagesse's parents, Alex and Carol, reveal plenty about the kind of problems that can arise when there are cross-cultural challenges to face in a marriage. Carol, coming from America, marries Alex, but is unable to see the potential sacrifices and problems she'll face as she moves overseas to live with her husband...or the impact the marriage will have on her daughter and the rest of the family, including a handicapped son.

 It is a bit hard to categorize this book because it covers so many areas. It is part mystery because Sagesse is trying to separate truth from myth when figuring out her family's history. It is part suspense because of Sagesse's short love affair and a moment of violence (and I don't want to give the details of that moment or I'll spoil it for you). It is also a historical novel, rich with information about events in Algeria and France and the United States.

For me, also, this one centers on themes of personal identity and displacement,primarily for Sagesse, a woman trying to figure out where she belongs in the world and how to make peace with her difficult family as well as coming to grips with history's impact on her family.",5
4,3.0,"view, part, taken, reviews, compared, book, leopard, promised, set, family, isolated, move, well, not_feel, parallel, leopard, author, story, many, events, isolation, lost, many, moving, sense, novel, must, wrong, paragraph, agree, parts, novel, readers, enjoy, events, algeria, part, novel, perhaps, not, stuck, protagonist, life, unfortunate, boring, first, person, yeah, mean, overall, novel, bit, prefer, show, not_tell, too, interesting, things, happened, along, way, kind, person, sit, hours, listen, friend, tell, endless, stories, help, suspect, tad, might, really, novel, otherwise, might, experience, mine, interest, part, close, book, whenever, wanted, quiet, friend",A dissenting view--In part.,"I was taken in by reviews that compared this book with The Leopard or promised a bildungsroman set in a family that is isolated and on the move.  Well...I didn't feel any parallel with The Leopard and the author overstuffs her story with so many events that isolation is lost in the opportunity for  so many subplots.  And who's moving - in any sense - in this novel?  Where's the ""bildung?""  The denouement?  The dsillusionner?  I must have  skimmed the wrong paragraph.
I do agree that parts of the novel are very  engaging.  They are.  And, like some other readers, I did enjoy the events  in Algeria.  This is the strongest part of the novel, perhaps because it is  not so deeply stuck in the protagonist's life that had the unfortunate  knack of boring me in the first-person!  (Yeah, that's what I mean.)  Overall, the novel is just a bit overdone.  I prefer a bildungsroman - if  that's what this should be - to show me a growth, not tell me all about the  all-too-interesting things that happened along the way.
If you're the  kind of person who can sit for hours and listen to a friend tell you  endless stories about herself that you can't help but suspect are just a  tad trumped up, then you might really dig into this novel.  Otherwise you  might have an experience more like mine which was one of detached interest.  For my part, I was relieved that I could close the book whenever I wanted  to quiet my jabbery friend.",3
12,3.0,"quick, fun, summer, read, twists, obviously, book, first, devil, surprised, discover, not, another, putting, awful, rather, taylor, not, problem, kind, want, work, instead, taylor, fellow, turned_out, complete, taylor, character, appealing, story, funny, fast, paced, truly, captured, lives, many, interested, wanted, taylor, seemingly, shallow, workers, story, took, turns, rooting, taylor, win, definitely, recommend, book, quick, fun, summer, read",Quick & fun summer read with some twists,"Obviously the premise of this book first struck me as a knockoff of The Devil Wears Prada. I was pleasantly surprised, however, to discover that this was not another tale of assistants putting up with impossibly awful bosses; rather, Taylor's boss was not the problem - she's the kind of classy lady you would want to work for - instead it was Taylor's fellow assistant who turned out to be the complete psycho.

Taylor's character wasn't wildly appealing, but the story was funny, fast-paced and truly captured the lives of many assistants. I was interested, I wanted Taylor to prevail over her seemingly-insane roommate and her shallow judgemental co-workers - even when the story took some unrealistic turns, I was rooting for Taylor to win. I definitely recommend this book as a quick and fun summer read.",5
16,2.0,"ergonomic, remote, whatever, reason, time, replace, previous, silver, remote, time, actual, function, ok, ergonomic, design, sets, back, remotes, years, buttons, no, number, buttons, volume, channel, buttons, shape, buttons, remote, adds, crappy, user, experience, twc, accept, replacement, remote, virtually, impossible, pick, use, without, staring, make_sure, fingers, heck, feel, around, figure_out, top, bottom, since, no, articulation, body, tell, end, horrible, horrible, design, skipping, paying, double, refurbished",Ergonomic nightmare,"This remote, for whatever reason, was chosen by Time Warner to replace their previous silver remote, the Time Warner Synergy V RC-U62CP-1.12S.  The actual function of this CLIKR-5 is OK, but the ergonomic design sets back remotes by 20 years.  The buttons are all the same, there's no separation of the number buttons, the volume and channel buttons are the same shape as the other buttons on the remote, and it all adds up to a crappy user experience.  Why would TWC accept this as a replacement?  This remote is virtually impossible to pick up and use without staring at it to make sure where your fingers are.  Heck, you have to feel around just to figure out if you've grabbed it by the top or bottom, since there's no articulation in the body of the thing to tell you which end is up.  Horrible, just horrible design.  I'm skipping this and paying double for a refurbished Synergy V.",2
18,2.0,"cannot, learn, older, wr, remote, thought, upgrade, twc, stuck, fails, not, old, remote, go, head, head, learn, different, blu, ray, players, lg, panasonic, fails, cannot, learn, buttons, biggest, problem, streaming, need, hit, blue, red, yellow, green, buttons, cannot, work, either, pull, out, remote, setting, not_know, give, multiple, no, learning",Cannot Learn,"I have an older URC-WR7 remote and thought this would be an upgrade (and because TWC stuck me with it), but this one fails where the other one didn't.  The old remote could go head to head and learn.  I have 2 different Blu Ray players (LG & Panasonic) and this one fails on both.  It cannot learn buttons.  The biggest problem is in streaming when I need to hit the blue, red, yellow, green buttons.  These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",2
25,3.0,"three_stars, volume, buttons, not_work",Three Stars,volume buttons do not work.,1
26,4.0,"works, good, programs, easy, worked, company, called, feedback, told, send, refund, working_fine, feature, lot, night, time",Works Good and programs easy.,Got them and only 2 of them worked. company called me after the feedback and told me they would send me a refund. The 2 that are working are doing fine. I like the lighted feature a lot for the night time.,4
27,5.0,"exactly, need, works",Exactly what you need,Works like it should,2
43,5.0,"great, perfect, replacement, last, dog, works, perfect, came, cheap, batteries, arrived, quickly, double, packed, inside, heavily, buy, dog, gets",Great!,Perfect replacement for the last one my dog chewed up. It works perfect and even came with some cheap batteries. It arrived quickly and was double packed inside a heavily padded envelope. Will buy again if my dog gets ahold of this one!,1
46,5.0,"works_great, twc, no, problems, works, interesting, assembled, mexico, recently, started, not_work, without, hard, push, buttons, every, way, assembled, seems, better, made, go_figure, works, happy",Works great for TWC.  No problems,"It works. It's interesting, I got one assembled in Mexico and it recently started to not work without a hard push on the buttons.

This one, identical in every way, is assembled in Korea. Seems to be better made.

Go figure.

But, it works,,,, I am happy",4
