doc_number;rating;text;summary_raw;review_raw;summary_tokens_length;rating_0
4864180;3;three_stars, not, much, cut, look, not, attractive;Three Stars;I didn't like this so much.  the cut and look was not attractive to me.;1;2
560462;4;great, mother_day, present, perfect, gift, wife, cubicle, work, picture, plus, mp, perfect, gift;Great Mother's Day Present;"The perfect gift for your wife if she has a cubicle at work.  Picture plus and MP3; just the perfect gift.";3;3
27471;5;five_stars, described;Five Stars;as described;1;4
4933951;2;disappointed, works, issues, really, disappointed, satisfied, aeon_labs, mini, motes, door_sensor, not, tad_overpriced, especially, love, smart, energy, plugs, dongle, stylle, though, first_generation, received, not, great, reviews, thought, perhaps, company, read, reviews, taken, corrective_action, new, model, wishful_thinking, part, took, attempts, pair, device, veraedge, including, exclude, paired, go, vera, forums, find, custom, setting, device, working, light_intensity, sensor, not, seem, giving, anything, useful, easily, fault, vera, temperature_sensor, consistently, reads, warmer_than, actually, least, consistent, error, work, around, motion_sensitivity, set, tiny, little, rheostat, style, knob, appreciate, infinite, variable, setting, sure, take, lot, dialed, want, especially_since, no_indication, direction, less, sensitive, positive, characteristic, supply, continuous, power, standard, usb, cable, manage, mount, ready, usb, cable, bit, mystery, nevertheless, nice, option, lastly, unit, week, fibaro, motion_sensor, aeon_labs, must, double, size, maybe, fibaro, discreet, not, adjective, ever, attribute, aeon_labs, mounting, solution, fibaro, simple, genius, bulky, stiff, generally, pita, aeon_labs, priced_competitively, say, around, cost, ecolink_motion, sensor, no_problems, bumping, rating, stars, sure, not, four, price, ecolink, not, perform, well, ecolink, need, than, motion_sensor, say, worth, couple, extra_bucks, fibaro, really, looking, motion_sensing, not, think, beat, ecolinks, either, way, not, recommend, sensor, better, elsewhere, well, guess, always, next, release, probably, quite, ways;Disappointed. It works, but has issues;"Really disappointed. I've been very satisfied with Aeon Labs mini motes, door sensor (if not a tad overpriced), and I especially love their smart energy plugs (the dongle stylle). So even though the first generation of their 4 in 1 received not so great reviews, I thought that perhaps the company would have read the same reviews and taken corrective action for the new model. This was wishful thinking on my part.

It took two attempts to pair up the device with my VeraEdge, including an exclude in-between. Once paired, I then had to go to the Vera forums to find some custom setting just to get the device working at all. The light intensity sensor doesn't seem to be giving me anything useful, but that could just as easily be the fault of the Vera. The temperature sensor consistently reads about 7F warmer than it actually is. At least it's consistent in error so I can work around it. The motion sensitivity is set with a tiny little rheostat style knob. While I can appreciate the infinite variable setting, it sure does take a lot to get it dialed in just how you want it; especially since there's no indication which direction is more or less sensitive. One positive characteristic is that you can supply continuous power with a standard USB cable. Where and how you'd manage to mount this with a ready USB cable is a bit of a mystery to me, but nevertheless it's a nice option to have.

Lastly, I got this unit the same week that I also got a Fibaro 3 in 1 motion sensor. The Aeon Labs must be about double the size, maybe more, of the Fibaro. Discreet is not an adjective I would ever attribute to the Aeon Labs and the mounting solution for the Fibaro is both simple and genius. This one bulky, stiff and generally a PITA. If Aeon Labs had priced this more competitively, say around the cost of an Ecolink motion sensor, I'd have no problems bumping up the rating to 3 stars for sure. Not four because even at the same price as the Ecolink, it doesn't perform as well as the Ecolink. If you need more than a motion sensor, I'd say it's worth the couple extra bucks for the Fibaro. If all you're really looking for is motion sensing, I don't think you can beat Ecolinks. Either way I wouldn't recommend this sensor. You can do better elsewhere. Well I guess there's always the next release which is probably quite a ways off.";3;1
928006;2;disappointed, big, time, bought, brackets, thought, real, easy, guessed_wrong, too_complicated, set, looking, alternative;Disappointed Big Time;When I bought these brackets, I thought it would be real easy. I guessed wrong! This was TOO complicated to even set up. Looking for an alternative.;3;1
2554968;1;defected, incompatible, not, work, asus_vj, not, sure, defected, incompatible, thinking, returning, asking, send, another;Defected or Incompatible?;It doesn't work on my ASUS N56VJ! Not sure if it's defected or incompatible. Thinking about returning or asking to send another one.;2;0
1328095;3;fine, player, not, region, hackable, echo, reviewers_comments, excellent, picture_quality, sd, dvd, material, highly_compressed, stuff, recorded, tv, dvd_recorder, looks, lot, cleaner, played, back, unit, dvd, unit, burned_out, reading, lots, reviews, bought, samsung, read, reviews, older, similar, samsungs, saw, region, hackable, dvd_collection, purchased, uk, half, usa, moved, region, hackable, therefore, necessity, yet, nobody, tinternet, posted, region_hack, usa, model, player, grrrr, took_gamble, not, pay, not, advocate, ripping, copyrighted_material, region, encoding, pain, butt, movies, seem, released, regions, almost, concurrently, nowadays, disband, silly, crippling, big_brother, idea, rhetorical_question, not, flame, please, buy, el_cheapo, non, upconverting_dvd, player, wal_mart, play, region, movies, always, hackable, bad, player, good, points, minimalist, no, flashy, chrome, bright_lights, distract, eye, small, less, deep, than, player, owned, remote, compatible, samsung, tv, remotes, not, hot, left, day, remembers, dvd, resume, point, front_panel, power, event, relatively, quick_start, load, dvd, slide_show, usb, socket, useable, hi_def, tested_extensively, not, good, points, lightweight, kids, pushing_buttons, repeatedly, push, back, tv, furniture, vacuum_fluorescent, display, dim, unreadable, distance, daytime, menu, rendering, bit, cheesy, low_res, menu_screens, seem, raw, digital_audio, out, spdif, connector, decoded, data, hdmi, socket, concurrently, menu, setting, affects, sockets, remember, exact, terminology, menu, set, yamaha, ht_receiver, understand, audio, data, stream, tv, vice_versa, saw, wal_mart, bucks, cheaper_than, amazon, day, bought, oh;A fine player, but not region-hackable;"Echo all the other reviewers comments about excellent picture quality on SD DVD material. Even highly compressed stuff that I've recorded off the TV on a DVD-R recorder looks a lot cleaner, played back on this unit.

My DVD-R unit burned out, so after reading lots of reviews I bought this Samsung. I read reviews of older, similar Samsungs and saw that they were region-hackable. About 50% of my DVD collection was purchased in the UK and the other half in the USA after I moved here. Region-hackable is therefore a necessity for me. As of yet, nobody on the Tinternet has posted a region hack for the USA model of this player. Grrrr! I took a gamble, and it didn't pay off.

I am not an advocate of ripping off copyrighted material but this region encoding thing is a pain in the butt. Movies seem to get released to all regions almost concurrently nowadays so why can't they just disband this silly, crippling, big brother idea? (rhetorical question - don't flame me please). I will now have to buy an el cheapo, non-upconverting DVD player from Wal*Mart to play my region 2 movies on - they're always hackable.

That's the only bad thing about this player. Good points are:

* Very minimalist. No flashy chrome or bright lights to distract the eye
* Very small. Less deep than any other player I've owned
* Remote is compatible with Samsung TV remotes
* Doesn't get hot at all, even after being left on all day
* Remembers DVD resume point over a (front panel) power-off event
* Relatively quick to start up and load a DVD
* Slide show from USB socket is useable and ""hi-def"". Haven't tested that extensively

Not-so-good points are:

* Because it's so lightweight, kids pushing the buttons repeatedly push it further and further back into the TV furniture
* Vacuum fluorescent display is very dim. Unreadable from a distance at daytime
* Menu rendering is a bit cheesy. Very low res menu screens.
* Can't seem to have ""raw"" digital audio out of the SPDIF connector and decoded data from the HDMI socket concurrently. One menu setting affects both sockets. I can't remember the exact terminology from the menu but if I set it so that my Yamaha HT receiver can understand the audio data stream, the TV can't (and vice-versa).
* Saw it in Wal*Mart for 5 bucks cheaper than Amazon, the day after I bought it. D'oh!";5;2
5760822;3;nice, too_small, big, laptops, came, super_fast, too_small, laptop, really, nice, though, guess, since, came, china, not, return, offered, half, paid, ended, giving, away, gift;Nice, but too small for big laptops.;"Came super fast but was too small for my laptop.(I have a 15.6"") :(  It was really nice though, and I guess since it came from China, I couldn't just return it so they offered me half of what I paid for it.  I ended up giving it away as a gift.";4;2
3324596;3;vhs, count, earlier, week, read, funai, last, manufacturer, vcrs, world, going, stop, making, since, bought, unit, month_ago, guess, lucky, last, though, modestly, impressed, unit, remote, unintuitive, unrefined, onscreen_menu, options, limited, not, contain, tuner, depending, cable, television, bit_cumbersome, set, annoyingly, since, contains, no, tuner, no, type, coaxial, screw, connection, back, grievous, oversight, unit, adequate, dubbing_vhs, dvd, candor, complaints, dvd, portion, unit, vhs, side, house, leaves_lot, desired, obviously, vhs, source_material, generally, looks, horrible, today_standards, actual, operation, vhs_deck, extremely, clunky, rewind, function, exceptionally, slow, unit, pales, every, way, comparison, beloved, panasonic_dmr, ez, ten_years, ago, finally_gave, ghost, boy, miss, versatility, logic, dvd, mastering, controls, relatively_inexpensive, unit, bare_bones, vhs_dvd, transfer, adequate, though, not, outstanding, anything, unfortunately, options_available, consumers, want, vhs_dvd, dubbing, capability, unit, simply, want, dvd, recording_capability, personally_prefer, limited, storage, available, lack, transferability, inherent, dvrs, want, vhs_dvd, recorder;VHS: Down For The Count;"Earlier this week I read that Funai, the last manufacturer of VCRs in the world, was going to stop making them. Since I bought this unit about a month ago I guess I'm lucky I got one while they last, though I am only modestly impressed with the unit. The remote is unintuitive and unrefined, while the onscreen menu options are limited. It does not contain a tuner, and depending on your cable and television can be a bit cumbersome to set up. Most annoyingly since it contains no tuner of its own, it has no Type F coaxial (screw in) connection on the back, which is a grievous oversight.

The unit is adequate for dubbing VHS to DVD, and in all candor I have few complaints about the DVD portion of the unit, but the VHS side of the house leaves a lot to be desired: obviously VHS source material generally looks horrible by today's standards, but the actual operation of the VHS deck is extremely clunky and the rewind function is exceptionally slow. This unit pales in every way in comparison to my beloved Panasonic DMR-EZ48V from about ten years ago. It finally gave up the ghost, and boy do I miss its versatility, logic, and DVD mastering controls. This is a relatively inexpensive unit and for bare bones VHS to DVD transfer it is adequate, though it's not outstanding at anything.

Unfortunately there are few options available to consumers who want VHS to DVD dubbing capability in one unit or simply want DVD recording capability (which I personally prefer to the limited storage available and lack of transferability inherent with DVRs), so if you want a VHS-DVD recorder, get it while you can.";2;2
5367366;1;scam, product, stopped_working, within, hour, dongle, broke, usb_port, product, scam, hour, opening, installing, transmitter, computer, mouse, stopped, tracking, properly, blink, out, freezing, cursor, releasing, anything, mid, click, brand_new, battery, another, case, showed, behavior, right_away, seen, behavior, wireless_mice, end, life, already, pretty, sure, junk, went, pull, transmitter, out, computer, usb_dongle, broke, leaving, metal_casing, stuck, usb_port, pull, stub, out, pliers, picture, attached, thankful, usb_port, damaged, obviously, returning, amazon, asap, not, buy, scam, product;Scam product, stopped working within 1 hour, the the dongle broke off IN THE USB PORT.;"This product is a scam.  About an hour after opening it and installing the transmitter in my computer, the mouse stopped tracking properly. It would blink in and out, freezing the cursor and releasing anything in mid-click.  It had a brand new battery in it, but I put another one in just in case and it showed the same behavior right away. I'd seen this behavior in wireless mice that were at end of life, so I was already pretty sure it was junk.  I went to pull the transmitter out of my computer and the USB DONGLE BROKE, leaving the metal casing stuck in my USB port.  I had to pull the stub out with pliers (picture attached) and am thankful my USB port wasn't damaged.  I will obviously be returning this to Amazon ASAP.

Do not buy this scam of a product";8;0
